Conversion of an object of class 'genind' into a GENEPOP file with the package 'graph4lg'             
Spp010, Spp053, Spp080, Spp142, Spp231, Spp273, Spp476, Spp051, Spp108, Spp313, Spp360, Spp391, Spp416 
Pop             
LU_SW_1_1_28-07-21_A, 153153 156160 164164 094096 133135 280290 109109 129133 187188 238238 129134 163167 147150
LU_SW_1_1_28-07-21_B, 153153 158160 164166 094096 133135 250280 103111 129129 188188 236240 134134 167169 145150
LU_SW_1_1_28-07-21_D, 153153 156156 164166 094094 135135 250308 109109 000000 182182 238240 134134 173173 150150
LU_SW_1_1_28-07-21_E, 153153 158160 164166 096096 133135 250280 111111 127129 182187 236238 129136 167167 150150
LU_SW_100_1_16-06-21_A, 153153 156160 164166 094096 135135 268308 103109 127129 186187 236238 136136 165165 145147
LU_SW_100_1_16-06-21_B, 153161 160160 147166 092092 135135 256280 107107 127133 182188 236238 129134 167167 150150
LU_SW_100_2_17-06-21_A, 160161 156160 166166 094096 133135 256284 107107 129129 182188 236238 129129 165167 150150
LU_SW_101_1_14-06-21_A, 153153 162162 164164 092094 135135 250250 103107 131133 182187 230238 134136 167167 150150
LU_SW_101_1_14-06-21_B, 153161 156160 166166 092094 133135 284287 109109 129129 187190 236238 129129 163167 145147
LU_SW_101_2_14-06-21_B, 153153 156160 164164 094098 133135 256287 107107 129131 182182 236238 129134 169171 150150
LU_SW_102_1_14-06-21_A, 149161 156156 164166 096096 133135 256280 109111 131131 182188 238242 129134 167173 145150
LU_SW_102_1_14-06-21_B, 153153 156156 164166 096096 135135 256280 107109 131131 182187 230236 129134 171173 147150
LU_SW_102_1_14-06-21_C, 153153 156160 166166 092096 133133 242280 107109 127131 182184 238238 129129 163171 147150
LU_SW_103_1_10-08-21_A, 153153 156160 164166 094096 135135 250284 103111 129133 182188 236238 129134 167169 147150
LU_SW_103_1_10-08-21_B, 153153 154156 164166 092092 124135 250280 107111 000000 187187 238240 129129 167169 145150
LU_SW_103_1_10-08-21_C, 153153 160160 164168 094096 133133 250280 107109 129131 188188 238238 129129 169171 145145
LU_SW_103_1_10-08-21_D, 153153 156160 166166 096098 133135 256280 103103 000000 182182 236238 129134 167169 145145
LU_SW_103_1_10-08-21_E, 161161 160166 164164 096096 124135 250250 109109 127131 182188 238238 129129 169171 147150
LU_SW_104_1_10-08-21_A, 153153 156160 166166 096096 133135 280284 103109 127131 182182 238238 129134 165173 150150
LU_SW_104_1_10-08-21_B, 153153 156156 166166 092096 135135 250250 107107 129129 182188 236238 134134 171171 145150
LU_SW_105_1_08-06-21_A, 160161 156156 164166 094098 135135 250284 107109 127131 187188 236238 129134 167173 147147
LU_SW_106_1_04-08-21_A, 153153 160160 164166 092096 133135 250300 109109 129129 182184 238238 134134 167171 147150
LU_SW_106_1_04-08-21_B, 153153 160160 166166 094096 135135 262280 103109 000000 188188 238238 129129 167171 150150
LU_SW_106_1_04-08-21_D, 153153 156164 164166 096096 124135 250280 107107 131131 182188 238238 129134 167169 147150
LU_SW_106_1_04-08-21_E, 153161 160160 164166 094096 124135 250280 109111 129129 182187 236240 134134 167171 150150
LU_SW_106_2_04-08-21_A, 153153 156156 164164 094096 135135 268300 107107 127131 182182 238238 129129 163167 145150
LU_SW_107_1_02-08-21_A, 153157 156160 164166 096096 124135 242250 103109 000000 182182 238238 129134 167171 145150
LU_SW_108_1_02-08-21_A, 153153 160160 164164 096096 133135 280280 109109 127131 187187 238238 134134 167171 150150
LU_SW_108_1_02-08-21_B, 153153 156156 164164 096098 133135 250274 107109 131131 188190 238238 129129 167167 150150
LU_SW_108_1_02-08-21_C, 161161 158160 164166 090096 133133 256280 109109 131133 187188 232238 134134 167167 150150
LU_SW_108_2_02-08-21_A, 153153 156160 166166 096096 135135 284306 109111 131135 186188 238238 123134 167171 145145
LU_SW_109_2_27-07-21_A, 153166 160160 166166 092096 133135 000000 107111 131133 187188 238238 134136 167167 150150
LU_SW_11_1_30-07-21_A, 153153 156160 164166 092094 135135 280300 109109 127129 182186 228238 129129 167167 150150
LU_SW_11_1_30-07-21_B, 153153 156160 166166 094096 135135 242250 111113 127127 188188 238238 129134 165167 150150
LU_SW_11_1_30-07-21_C, 153153 160162 000000 092094 000000 000000 109109 127133 182188 236238 129129 169171 145150
LU_SW_11_1_30-07-21_D, 153153 156160 164166 090096 133135 250280 107109 000000 190190 238238 129134 163165 145150
LU_SW_11_1_30-07-21_E, 153161 156160 164166 094096 124133 256256 000000 129129 190190 238238 129129 167171 145147
LU_SW_110_1_28-07-21_A, 153153 160160 164164 092096 135135 250250 107111 127129 186190 236238 129129 167167 150150
LU_SW_110_1_28-07-21_B, 153166 160160 166166 094096 124124 250280 109113 129133 182187 232238 134134 169171 145150
LU_SW_111_2_23-08-21_A, 153153 160160 164166 096096 133135 250280 103109 127131 187188 238238 129134 167169 145150
LU_SW_111_2_23-08-21_B, 153153 156160 164166 075096 135135 250280 109109 127127 182187 236238 129129 167171 145150
LU_SW_111_2_23-08-21_C, 161161 156156 164166 092094 124135 280302 103111 127129 187188 236238 129138 163169 145145
LU_SW_111_2_23-08-21_D, 153166 156160 147166 000000 124135 280280 107109 129129 182190 228238 129134 165165 145150
LU_SW_111_2_23-08-21_E, 161161 158160 166166 090094 133135 250268 107107 127129 182182 238238 129138 175175 145150
LU_SW_112_1_24-08-21_A, 153161 156160 164166 096096 124133 287296 103111 131133 187188 236238 129136 167169 150150
LU_SW_112_3_23-08-21_C, 153161 160160 164166 096096 135135 266296 109111 000000 182187 238238 129136 169171 147150
LU_SW_112_3_23-08-21_D, 153161 160162 164166 094096 124135 280280 109109 131131 182182 232238 134134 167173 150150
LU_SW_112_3_23-08-21_E, 153161 156156 147164 096096 135135 280287 103103 129131 188188 238238 129134 167173 150150
LU_SW_113_1_26-06-21_A, 153161 156156 164164 090096 133135 256280 103111 127131 186188 238238 129134 165173 145150
LU_SW_114_1_05-08-21_B, 153153 160160 164164 096096 124133 242250 111111 000000 182187 238238 129134 165167 150150
LU_SW_114_1_05-08-21_C, 153153 160160 164166 092096 133135 256296 107109 127129 186187 236238 129134 165173 150150
LU_SW_114_1_05-08-21_D, 153153 156156 166166 075092 133135 250280 103109 129131 182188 236238 129129 161167 145150
LU_SW_115_1_07-08-21_A, 153153 160160 164166 092098 124135 256256 107109 131133 188188 236238 129134 163167 150150
LU_SW_115_1_07-08-21_B, 153161 160160 164164 094096 135135 250280 107109 127135 181187 238238 129129 167167 150150
LU_SW_115_1_07-08-21_C, 153153 154156 164166 092094 124133 250250 109109 000000 182188 000000 129134 167169 147150
LU_SW_115_1_18-08-21_A, 153153 160160 164164 096096 135135 250294 107109 127127 188188 238238 129129 165169 150150
LU_SW_116_2_07-08-21_B, 153153 154156 166166 092094 135135 256280 104109 129131 187188 238238 129138 163169 145150
LU_SW_116_2_07-08-21_C, 153161 156156 164166 094096 135135 280287 107107 131131 186187 240240 134134 167171 147150
LU_SW_116_2_07-08-21_D, 153153 156156 164166 096099 000000 250280 107107 131131 182186 238238 129134 167171 150150
LU_SW_117_2_18-06-21_B, 161161 160160 164164 094096 133135 280280 103107 127131 182182 236238 129129 167169 145150
LU_SW_118_1_18-06-21_A, 153153 160160 166166 094098 135135 250280 109111 127129 188188 236236 129134 167171 150150
LU_SW_118_1_18-06-21_B, 157161 160160 164164 092094 133135 250272 107109 127133 188188 236238 129134 165171 150150
LU_SW_119_1_11-08-21_A, 153153 156160 164166 096096 133135 280280 107109 127127 182188 236238 129136 167167 150150
LU_SW_119_1_11-08-21_B, 153161 160166 164164 092096 135135 250284 103107 131133 187187 238238 129129 163173 150150
LU_SW_119_1_11-08-21_C, 153153 156160 166166 094096 133135 250250 107109 127127 182182 236238 129138 165167 150150
LU_SW_119_1_11-08-21_D, 153153 160162 166166 094094 135135 250280 109111 129131 188188 236238 129136 169173 150150
LU_SW_119_1_11-08-21_E, 153161 156160 166166 096096 133135 256280 104111 127129 182182 236238 129129 167169 147147
LU_SW_119_2_11-08-21_A, 153153 156160 164166 096098 133133 256280 109109 129129 187187 238238 129134 165167 150150
LU_SW_12_2_30-07-21_A, 153161 156160 166166 096096 135135 280320 109109 131131 188190 238238 134134 167171 145150
